strain_id	gene_name
20210803MYHT001	Bmp1-other
20210807ZMZT022	Bmp1-other
20210807ZMZT022	Bmp1-other
20210807ZMZT022	Bmp1-other
20210812MYHT007	Bmp1-other
20210812MYHT007	Bmp1-other
20210812MYHT007	Bmp1-other
20210816HXMT019	Bmp1-other
20210816HXMT019	Bmp1-other
20210831MYHT013	Bmp1-other
20210831MYHT013	Bmp1-other
20210831MYHT013	Bmp1-other
20210831MYHT013	Bmp1-other
20210909WHXT023	Bmp1-other
20210909WHXT023	Bmp1-other
20210909WHXT023	Bmp1-other
20210914ZYQT074	Bmp1-other
20210914ZYQT074	Bmp1-other
20210914ZYQT074	Bmp1-other
20210914ZYQT074	Bmp1-other
20210916ZYQT086	Bmp1-other
20210916ZYQT086	Bmp1-other
20210916ZYQT086	Bmp1-other
20210916ZYQT086	Bmp1-other
20210918ZYQT094	Bmp1-other
20210918ZYQT094	Bmp1-other
20210918ZYQT094	Bmp1-other
20210918ZYQT094	Bmp1-other
20210918ZYQT096	Bmp1-other
20210918ZYQT096	Bmp1-other
20210918ZYQT096	Bmp1-other
20210930WHXT062	Bmp1-other
20210930WHXT062	Bmp1-other
20210930WHXT062	Bmp1-other
20211001WHXT063	Bmp1-other
20211001WHXT063	Bmp1-other
20211001WHXT063	Bmp1-other
20170404CXH2	Cancer_cell_killing_Cry
20160823YYYH7	Cancer_cell_killing_Cry
20160817LQRH6	Cancer_cell_killing_Cry
20161014NWWH14	Cancer_cell_killing_Cry
20161014NWWH14	Cancer_cell_killing_Cry
20170404CXH7	Cancer_cell_killing_Cry
20150724YYYT004	Cancer_cell_killing_Cry
20150721SYNT025	chitinase
20150721SYNT039	chitinase
20150724TZMT016	chitinase
20150724TZMT023	chitinase
20150728TZMT028	chitinase
20150728TZMT047	chitinase
20150728TZMT049	chitinase
20150728TZMT050	chitinase
20150728TZMT051	chitinase
20150728TZMT053	chitinase
20150728TZMT065	chitinase
20150728TZMT075	chitinase
20150730TZMT109	chitinase
20150429WST100	chitinase
20141101WST152	chitinase
20141126CLLT002	chitinase
20141126CLLT035	chitinase
20141208CLLT128	chitinase
20141208CLLT142	chitinase
20141208CLLT151	chitinase
20141208CLLT161	chitinase
20141209CLLT200	chitinase
20130414LHLT212	chitinase
20130414LHLT214	chitinase
20130414LHLT220	chitinase
20130414LHLT228	chitinase
20130414LHLT231	chitinase
20130414LHLT234	chitinase
20130414LHLT238	chitinase
20130414LHLT239	chitinase
20130414LHLT244	chitinase
20130414LHLT245	chitinase
20130414LHLT247	chitinase
20130414LHLT294	chitinase
20130417LHLT249	chitinase
20130417LHLT250	chitinase
20130417LHLT256	chitinase
20130417LHLT257	chitinase
20130417LHLT258	chitinase
20130417LHLT261	chitinase
