strain	toxin
20130108NXTT147	Cry1Aa3
20130108NXTT147	Cry1Ia44
20130108NXTT147	Cry9Ea9
20130108NXTT147	Cry1Ca9
20130108NXTT147	Vip3Bc1
20130108NXTT147	Cry1Da2
20130108NXTT147	Tpp78Ba1
20130108NXTT147	Vip3Aa7
20130108NXTT147	Cry2Ab35
20130108NXTT149	Cry2Aa9
20130108NXTT149	Vip3Aa7
20130108NXTT149	Cry1Aa3
20130108NXTT149	Cry2Ab35
20130108NXTT149	Cry1Ia44
20130108NXTT150	Cry2Aa9
20130108NXTT150	Vip3Aa7
20130108NXTT150	Cry1Aa3
20130108NXTT150	Cry2Ab35
20130108NXTT150	Cry1Ia44
20130108WXXT010	Vpb4Ca1
20130108WXXT012	Vip3Aa7
20130108WXXT012	Cry1Aa3
20130108WXXT012	Cry2Ab35
20130108WXXT012	Cry2Aa9
20130108WXXT012	Cry1Ia44
20130110LHLT030	Cry1Ea7
20130225WXXT013	Vpb4Ca1
20130225WXXT013	Tpp80Ab1
20130305WXXT015	Vpb4Ca1
20130305WXXT020	Cry2Aa9
20130305WXXT020	Vip3Aa7
20130305WXXT020	Cry1Aa3
20130305WXXT020	Cry2Ab35
20130305WXXT020	Cry1Ia44
20130305WXXT021	Vip3Aa7
20130305WXXT021	Cry1Aa3
20130305WXXT021	Cry2Ab35
20130305WXXT021	Cry1Ia44
20130305WXXT021	Cry2Aa9
20130305WXXT022	Vip3Aa7
20130305WXXT022	Cry1Aa3
20130305WXXT022	Cry2Ab35
20130305WXXT022	Cry1Ia44
20130305WXXT022	Cry2Aa9
20130305WXXT069	Vpb4Ca1
20130305WXXT069	Tpp80Aa1
20130305WXXT070	Vpb4Ca1
20130305WXXT070	Tpp80Aa1
20130305WXXT072	Vpb4Ca1
20130305WXXT072	Tpp80Aa1
20130305WXXT073	Tpp80Ab1
20130305WXXT073	Tpp80Aa1
20130305WXXT073	Vpb4Ca1
20130305WXXT073	Tpp78Aa1
20130305WXXT074	Tpp80Aa1
20130305WXXT074	Vpb4Ca1
20130310HHT021	Cry8Ja1
20130310HHT021	Cry8Ja1
20130310HHT021	Mpp46Ab1
20130310HHT021	Vpb1Aa3
20130310HHT021	Vpb1Ea2
20130310HHT021	Mpp5Ab1
20130310HHT021	Cry8Ja1
20130310HHT021	Mpp3Aa6
20130310HHT021	Cry8Ja1
20130310HHT021	Cry8Fa3
20130310HHT021	Cry8Fa4
20130310HHT021	Cry8Ea5
RSPT016	Cry1Ia44
RSPT016	Cry9Ea9
RSPT016	Cry1Ac9
